,Sentence,human_coding
793,Ben family was not very accepting of the cultural differences presented by his new girlfriend.,0
794,The American was impressed by the vibrant Colombian culture.,1
795,Cancel culture toxic. ,0
796,Culture is about the people more so than the traditions.,0
797,I wish i had asked more questions to my grandmother about our culture.,0
798,I am going the Culture fair today. ,0
799,I bow when greeting my elders. ,0
800,My culture tells me about where I am from.,0
801,Culture can mean lot to people.,0
802,I love to integrate myself in other cultures.,0
803,"Comic book art used to be looked down upon, but it is now seen as viable art form. ",1
804,My thoughts about today culture isn popular.,0
805,The father was proud oh his sons eagerness to learn their native language.,0
806,I want to see the new African Art exhibit and the museum. ,0
807,Their culture is very colorful.,0
808,Many cultures are appropriated by white people ,1
809,"In culture many people enjoy their food, dance, and customs of their ancestors. ",0
810,The movie was made hit by the actors.,1
811,Culture is passed down,1
812,"The society had such rich culture, there was much to learn of them.",0
813,I did not know about the sneaker culture around my school. ,0
814,Culture is the way we know how to act in public. ,0
815,The Aztecs ruled Mesoamerica.,0
816,there is cultural difference beet week different people,0
817,The gallery opening was attended by many important figures.,1
818,"When we went to Puerto Rico, the culture was beautiful.",0
819,"Culture is best ignored, maybe.",1
820,My favorite celebrity spoke out against racism last week.,0
821,Culture both divides and unites people.,0
822,"Cultures, comes in many color shapes and sizes.",0
823,We need to do more about different culture.,0
824,I eat Kimchi since it is part of my Korean culture.,0
825,The girls culture was forgotten about.,1
826,Our differences in culture is perhaps what I find most interesting.,0
827,I love how this cuisine tastes ,0
828,Culture makes up our characters.,0
829,The weekend was improved by the opening of the museum.,1
830,Jill studies modern art at the local college.,0
831,Culture is the core of our society.,0
832,The woke culture is hilarious.,0
833,Television has become more diverse in 2020.,0
834,Culture was the main drive of the museum visit.,0
835,Having an expressive personality is part of LGBTQ culture.,0
836,I love studying different cultures.,0
837,I celebrate Christmas with my family.,0
838,I hear very little about culture.,0
839,My culture needs to work together to improve so that we can acheive.,0
840,careers revolve around persons culture.,0
841,learning about different cultures is interesting.,0
842,Cultural studies will always be considered an important part of liberal arts education.,1
843,I did not check on anything about my culture.,0
844,I love to learn about different cultures.,0
845,I do not know much about pop culture.,0
846,"The movie was watched by 3,000 people.",1
847,The festival is scheduled for next week.,1
848,The work culture at Google is very relaxed.,0
849,I want to know how to make sushi ,0
850,The traditional dance was performed by the women in the group.,1
851,The culture is changing at breakneck speed ,0
852,Great Britain culture is overdue for change.,0
853,My culture revolves around my Italian upbringing. ,0
854,Leah loved to learn of her culture as time went on.,0
855,CONCERTS ARE A FUN THING TO DO ON THE WEEKENDS,0
856,Culture was changed by altering the story.,1
857,The young girls sighed as they were tired from dancing on Tik Tok. ,0
858,Her culture was known to celebrate on that day.,1
859,We were interested in the Asian exhibits. ,0
860,Choose your culture wisely.,0
861,The culture dictates the rules.,0
862,the show told me about culture,0
863,Minority cultures assimilate into the dominant culture over time.,0
864,We are celebrating Christmas ,0
865,Downtown is full of culture.,0
866,Americans are mindconrolled by NBA,1
867,Pop culture is unimportant in the grand scheme of things.,0
868,The culture exhibit was victimized by vandalism,1
869,I really enjoy embracing my culture and uplifting those who do as well ,0
870,we all have different cultures,0
871,Culture varies across our country.,0
872,American culture is in decline. ,0
873,The french has an unique culture,0
874,It was in Marvin culture to celebrate different holiday.,0
875,They just always do things the wrong way. ,0
876,Cats don like to eat asparagus.,0
877,I love the culture,0
878,The trend was popular among teens.,0
879, Chinese is sub-category of Asian.,0
880,I wanted to be at the top of culture,0
881,I made my mother famous Italian dish for my friends.,0
882,Some say culture is dead in the 21st century.,0
883,The walls were covered in vibrant grafitti.,1
884,Culture has become very large separator among society today. ,0
885,I ve never been to Safari before.,0
886,Billy has learned lot about his culture.,0
887,Culture plays huge role in how we see ourselves.,0
888,The new rock band is going to be touring soon.,0
889,Observing culture is important in society.,0
890,The character of nation is reflected by its culture.,1
891,The natives had culture that recognized adulthood at age 12. ,0
892,Culture shapes relationships amongst people.,0
893,The Mayan culture is very interesting topic to read,0
894,She is learning about the culture.,0
895,CULTURE BUILT EVERY TRADITION IN A COMMUNITY.,0
896,I attend cultural show,0
897,I believe culture is benefit to society.,0
898,Cheeseburgers are eaten by Americans.,1
899,"To Dalton, the meaning of culture includes language, arts, cuisine, music, social habits and religions.",0
900,He was going to date outside of his culture.,0
901,Culture today is out of hand.,0
902,Teens love alternative music.,0
903,The culture of the country is not inviting.,0
904,I wonder about her culture.,0
905,I teach American Culture at junior college in my state.,0
906,I am celebrating Christmas with my family because I grew up in the western culture.,0
907,Their culture was hard to discover ,0
908,It is very important to learn about Culture.,0
909,There had been great deal of hand wringing about the decline in our culture. ,0
910,Music effects everyone.,0
911,Cultures are part of yogurt.,0
912,I loved experiencing the Italian culture when I was there.,0
913,Everyone has different and exciting culture.,0
914,Culture gives unique personality to many countries. ,0
915,The Mayan beliefe were of future that would end in 2012.,0
916,I come from long line of Irish Heritage.,0
917,The culture was already discussed in the book.,1
918,They had gone to temple to learn about her culture.,0
919,Culture has always been an interesting topic to study.,0
920,The business was made slow by the pandemic.,1
921,I want new business card.,0
922,I don know much about business.,0
923,The store owner had to close for the winter.,0
924,The CEO has just reviewed the financial statements.,0
925,I wish the stocks would go up. ,0
926,They invested wisely.,0
927,Business is in shambles right now.,0
928,The boom in the economy was led by business.,1
929, The company worked hard to be the top in their field.,0
930,Profits increased this fiscal year.,0
931,The business was fined for operating without license.,1
932,The entire meal was paid for by my boss.,1
933,Joe attended the business meeting.,0
934,The stock market was paid attention to.,1
935,Business interests are regulated by the federal government.,1
936,I started my own small business when I was very young.,0
937,The meeting was rescheduled for tomorrow. ,1
938,China is great place to travel to.,0
939,BUSINESS MEN NOT FINE ALL THE TIME. ,0
940,Business is cut throat sport. ,0
941,Local retail stores are great convenience. ,0
942,I wish I was able to get more money at the bank.,0
943,Business is very interesting ,0
944,Big Business was sued by the government.,1
945, Business is good for the economy. ,0
946,The salesperson demonstrated his company products in meeting. ,0
947,I want to own business ,0
948,Business is very broad category. ,0
949,Schedule all orientation meetings today before leaving the office.,0
950,Business was good.,0
951,She didn know how to organize the business ,0
952,I am buying stock today.,0
953,The award was won by the top business.,1
954,I am looking for business to start up.,0
955,Purdue Pharma settled the lawsuit with billions of dollars.,0
956,That business has been closed for awhile.,1
957,Jamal is fantastic business man. ,0
958,Her business is of no concern of mine. ,0
959,I work for large business,0
960,Business is hard.,0
961,Business is major at most colleges and universities.,0
962,I closed this business.,0
963,The business was shown new idea.,1
964,The market was down. ,0
965,The girl entered the business located on Main Street.,0
966,The business is open today. ,0
967,I sure hadn wanted to visit that apple store since it was so busy.,0
968,I ll start my business in the next few weeks.,0
969,The fundraiser for the business brought in lot of money.,0
970,Her background was in Business,0
971,The Business closed its doors promptly at 5pm.,0
972,I went to work today and it was long day.,0
973,My family business is affected by the pandemic. ,1
974,I am leaving this business.,0
975,The business was robbed during the night.,1
976,Dressing up is required to attend meeting.,0
977,The business is doing well,0
978,I am taking Business course and enjoying all that I am learning.,0
979,I called them and got the sale ,0
980,My contributions to the business were not recognized by my father. ,1
981,The accountant met with the lawyer.,0
982,Business creates opportunity.,0
983,Long lunches are often taken when having business meetings.,1
984,The CEO made all final decisions for the company.,0
985,Business grows with society.,0
986,Sprint was bought out by T-Mobile.,1
987,Is is expected that business will be good this year.,1
988,The business is thriving.,0
989,There no business like show business.,0
990,I am into business,0
991,The company was involved in community service.,0
992,Business is booming,0
993,Business is booming ,0
994,The accountant was fired.,1
995,Business is no fun but it worth it.,0
996,Business was taken over. ,1
997,I keep track of my own orders. ,0
998,Business makes the world go round.,0
999,He opened the business 10 years ago.,0
1000,The business is not doing well,0
1001,The firm was able to make ton of money this quarter. ,0
1002,i owned my business,0
1003,Business can be very challenging at times.,0
1004,The business did not meet the state protocols to remain operational.,0
1005,Business was boring subject.,0
1006,His business suffered due to the economy.,0
1007,I take many business trips.,0
1008,I run my business online,0
1009,Stock prices were mixed after investors faced uncertainty.,0
1010,It is time to close the doors on this business. ,0
1011,My mom was doing taxes as I watched tv.,0
1012,This business is profitable every year.,0
1013,My cousin got degree in Business.,0
1014,This business is failing fast. ,0
1015,Salaries were reduced by the CEO.,1
1016,I really hate Apple,0
1017,They are growing the business.,0
1018,The DOW is up.,0
1019,I studied business in college.,0
1020,I am an important business man,0
1021,My daily activity involves running my own business.,0
1022,I invested ton of money in stocks. ,0
1023,The presentation from today meeting was developed by the business manager.,1
1024,The corporation as whole was damaged significantly by the CEO scandal.,1
1025,I enjoy working here. ,0
1026,The CEO opinion was not heard by the board.,1
1027,I own my own business.,0
1028,I am going to business meeting in one hour. ,0
1029,I am activating my bank account today.,0
1030,Businesses are very important for the market.,0
1031,Business is conducted within the hours of 0900-1700,1
1032,My business is very important.,0
1033,Comic shops were more viable business before the pandemic. ,0
1034,Today business world is suffering because of the pandemic.,0
1035,The bakery was happy with all of it satisfied customers.,0
1036,I think his business is pretty successful. ,0
1037,Their business is secret.,0
1038,The business man was sent home because he had fever,1
1039,In business it is easy to become millionaire.,0
1040,The contract was not signed by the business.,1
1041,Business is very volatile,0
1042,"We had business to deal with first, then pleasure.",0
1043,I lost all my money from my pizza business,0
1044,Businesses suck the money out of folk wallets. ,0
1045,The CEO has an office in an high rise.,0
1046,I am in the process of purchasing new car.,0
1047,More than 300 employees of the company were laid off on Friday. ,1
1048,That meeting made me feel so nervous.,0
1049,Business is not very fun.,0
1050,The CEO of that company earned very high bonus this year.,0
1051,Business is in the heart of commerce.,0
1052,Mind you business and stay outta mines.,0
1053,His business grew to hugh success over night. ,0
1054,I would like to receive payment for my private business.,0
1055,The business closed after their hours of operation.,0
1056,Keeping his business is what keeps Steve working so hard.,0
1057,WE are skyrocketing ,0
1058,Business has been bad lately.,0
1059,The company was taken over by its competitor.,1
1060,Amy studies accounting daily and is quite good at it.,0
1061,Our business has been slow this year.,0
1062,Business is the engine of capitalism.,0
1063,The chairman of the board was fired due to lack of sails.,1
1064,Business was not the prime interest of the family meeting.,0
1065,Leaders of business often give speeches and workshops to teach people new to the workforce.,0
1066,I am starting my own business.,0
1067,I actively invest in the stock market.,0
1068,She was told business is necessary.,1
1069,My business will excel with the right mentors.,0
1070,The shareholders were satisfied with the bosses news about opening new business.,1
1071,Business is very well known career field.,0
1072,The local Chamber of Commerce was founded in 1952.,1
1073,I never got into business.,0
1074,The business is doing really well.,0
1075,The business world has had to adapt to many changes.,0
1076,The businesses had been opened in 2019.,1
1077,The business was in jeopardy.,0
1078,My business is much more successful than most.,0
1079,I am going to get those books done.,0
1080,Those items were sold by the top salesperson in the company.,1
1081,They are closing down their business.,0
1082,Business will pick-up as more people get their vaccine.,0
1083,I lost my business when the economy fell. ,0
1084,Len majored in business in university.,0
1085,I AM GOING TO EAT AT THE LOCAL SUSHI RESTAURANT TONIGHT,0
1086,Business was done as usual.,1
1087,The man made sale that went bad. ,0
1088,She was seeking position as manager in business.,0
1089,We were looking at business sites. ,0
1090,Business has been good.,0
1091,The business was filing for bankruptcy.,0
1092,the man suceeded greatly at his business,0
1093,A small business was bought out by large company.,1
1094,The business is blooming ,0
1095,Our business is stressful.,0
1096,business was shut down,1
1097,The business of marketing is highly profitable.,0
1098,The old business had been subsumed by the new merger,1
1099,One of my goals is to have my own Business in the near future ,0
1100,I own my business for two years,0
1101,Business is booming.,0
1102,The business is under pressure due to the pandemic. ,0
1103,I have an interest in Business,0
1104,Monica was driven to the store last night.,1
1105,I would ve done it differently. ,0
1106,The bath is far too hot for me to bathe.,0
1107,Business is going great,0
1108,Stocks were sold by the company before the end of the quarter. ,1
1109,"When will people return to the office, after COVID-19 ",0
1110,I will open my own business one day,0
1111,Jeff and Gary agreed on the merger and shook hands.,0
1112,A group of businessmen were gathered at the bar.,1
1113,Clients were given itemized invoices.,1
1114,Many businesses were shut down during the Covid pandemic. ,1
1115,The CEO wanted to gather the employee together.,0
1116,The supervisor read the memo and asked the employees questions.,0
1117,The business reopened after two months of lockdown.,0
1118,The new information for the banking regulations will be delivered this afternoon.,1
1119,Investing in the company is lucretive.,0
1120,Lot of economic growth is provided by businesses.,1
1121,The business recognized its error and made retribution. ,0
1122,Business influences politicians.,0
1123,Companies enjoy making good profit from the businesses they run.,0
1124,The man is starting business.,0
1125,BUSSINESS ARE DEVELOP THROUGH A SIMPLE IDEA.,0
1126,he is busy in business,0
1127,Business will grow to offset the cost of living.,0
1128,The income was totaled by the Accountant. ,1
1129,The business dedicates long hours to helping those in need.,0
1130,He was going to apply there.,0
1131,I have business in the city.,0
1132,Companies merge with other companies.,0
1133,The business will go under very soon.,0
1134,I wonder if business is good.,0
1135,The newest business to spring during the Pandemic is Home Delivery.,0
1136,I started my own business.,0
1137,Business was going well,0
1138,Business is booming this month ,0
1139,CEOS were not given much notice before firing. ,1
1140,The accountant showed his work at the meeting.,0
1141,Business is questionable these days.,0
1142,He had his own business for 20 years.,0
1143,I started business recently that is going so great so far ,0
1144,A business thrives when managed responsibly. ,0
1145,The shareholders were not satisfied by the CEO explanations,1
1146,I would mind what you are doing in this meeting.,0
1147,I had no business doing that.,0
1148,They had good business sales then.,0
1149,I had never understood many aspects of business.,0

