document,count_sents,all_passives,passive_count,passive_sents_count,passive_percentages,binary,Unnamed: 0,PassiveMatch(es),PassiveCount,ID,Test,Cond,human_coding,match
Our pitcher throws 150km h.,1,[],0,0,0.0,0,236,,0,AYXXMHLZRAPF9,1.0,1,0,True
I feel that sports are gateway to high fitness.,1,[],0,0,0.0,0,237,,0,A3M0L33TPD346S,1.0,1,0,True
Sports were enjoyed by the fans.,1,['were enjoyed'],1,1,1.0,1,238,['were enjoyed'],1,A33GB614ST7J82,1.0,2,1,True
The football player scored touchdown.,1,[],0,0,0.0,0,239,,0, COPIEDAKHKMEPXX1YZ9,2.0,1,0,True
The quarterback caught the ball.,1,[],0,0,0.0,0,240,,0,A23273YME4RCEB,1.0,1,0,True
Sports was the activity she enjoyed the most.,1,[],0,0,0.0,0,241,,0,A3O4WYGKH31OX,1.0,2,0,True
Football is the sport I played in high school.,1,[],0,0,0.0,0,242,,0,A3NLSGHK6RFXA8,1.0,2,0,True
Bob watched sports all day on TV.,1,[],0,0,0.0,0,243,,0,AOJF7CPZVK5U3,1.0,1,0,True
Soccer was played by millions last year.,1,['was played'],1,1,1.0,1,244,['was played'],1,A154ZJKRSX6847,1.0,2,1,True
Sports are watched for entertainment purposes by the masses.,1,['are watched'],1,1,1.0,1,245,['are watched'],1,A3FXVNZ5VG98IP,1.0,2,1,True
My niece participates in various sports in school.,1,[],0,0,0.0,0,246,,0,AYXN53TNFG71P,1.0,1,0,True
The ball was hit out of bounds.,1,['was hit'],1,1,1.0,1,247,['was hit'],1,AMUKX1DM4ASA7,1.0,2,1,True
The soccer game is alot of fun.,1,[],0,0,0.0,0,248,,0,AFE7E450NETF2,1.0,1,0,True
SPORTS DRIVE EVERYONE CRAZY. ,1,[],0,0,0.0,0,249,,0,A2DLZ9PK82J8L2,1.0,1,0,True
Sports seem boring to me. ,1,[],0,0,0.0,0,250,,0,ARON01UO1YK7I,2.0,2,0,True
Gymnastics is one of the sports I like watching. ,1,[],0,0,0.0,0,251,,0,A3RNGN5WLE1OBU,1.0,1,1,False
The player had hit the ball so far.,1,[],0,0,0.0,0,252,,0,A1ZZETG57T5D5X,2.0,2,0,True
Sports are entertaining to watch,1,[],0,0,0.0,0,253,,0,A2Z75NJBZ46RE9,1.0,1,0,True
All sports were halted during the pandemic.,1,['were halted'],1,1,1.0,1,254,['were halted'],1,A1CI5U3BLQ2DDS,1.0,2,1,True
 The government canceled all sports during the pandemic. ,1,[],0,0,0.0,0,255,,0,A1CI5U3BLQ2DDS ,1.0,1,0,True
I love hitting the baseball. ,1,[],0,0,0.0,0,256,,0,ATSNZCC16HIOI,1.0,1,0,True
I like watching sports on television ,1,[],0,0,0.0,0,257,,0,A1SWGSFIMZJQE,2.0,2,0,True
Sports can help pass the time. ,1,[],0,0,0.0,0,258,,0,A33UZLF8WW0DV1,2.0,2,0,True
Tiger Woods will not be playing golf due to his automobile accident.,1,[],0,0,0.0,0,259,,0,A39GP79ULCP9J2,1.0,1,0,True
Sports is entertaining.,1,[],0,0,0.0,0,260,,0,A2X5BYJKVKSYQQ,1.0,1,0,True
Sometimes sports games can seem little long.,1,[],0,0,0.0,0,261,,0,A12S5JDG2D5HEW,2.0,2,0,True
I kick the soccer ball to Sam.,1,[],0,0,0.0,0,262,,0,A1FAQI8VXLAMBM,2.0,1,0,True
The baseball game was playing on the TV.,1,[],0,0,0.0,0,263,,0,A3P1QF00PF2DF9,1.0,2,0,True
The quarterback is being tackled before the throw.,1,['is being tackled'],1,1,1.0,1,264,['being tackled'],1,A16ZLWV0QUJP65,2.0,1,1,True
The first-ranked tennis player won Wimbledon.,1,[],0,0,0.0,0,265,,0,AOJD8D9NXVAR3,1.0,1,0,True
Sports channel was great last weekend,1,[],0,0,0.0,0,266,,0,A1ZLWV0QUJP65,2.0,2,0,True
Candace is the fastest runner in her class. ,1,[],0,0,0.0,0,267,,0,AAL5LUI5U3NAV,1.0,1,0,True
He plays on many sports teams. ,1,[],0,0,0.0,0,268,,0,A1TK1M16KJJKEO,1.0,2,0,True
I played lot of sports,1,[],0,0,0.0,0,269,,0,A79XOBCSS4NTG,1.0,1,0,True
Many people enjoy sports.,1,[],0,0,0.0,0,270,,0,A2O3IWIVOZD4S7,1.0,1,0,True
Sports are extremely fun to play when one is competitive.,1,[],0,0,0.0,0,271,,0,A2SVKAI2PNTS79,2.0,2,0,True
Sports are popular with kids.,1,[],0,0,0.0,0,272,,0,A2O3IWIVOZD4S7,1.0,1,0,True
The sports hero was known for his homerun streak.,1,['was known'],1,1,1.0,1,273,['was known'],1,A2VNR6984SDFGQ,1.0,2,1,True
He was one of the best players on the court. ,1,[],0,0,0.0,0,274,,0,A3CLBF224TRYC9,1.0,2,0,True
The children played various sports on the playground.,1,[],0,0,0.0,0,275,,0,A8TLS2F8LFQ68,1.0,1,0,True
Sports are keeping you healthy.,1,[],0,0,0.0,0,276,,0,AIJPLVW0ULYTH,2.0,1,0,True
i not truly fan of football.,1,[],0,0,0.0,0,277,,0,A3CX0LXFHZ6I3I,1.0,2,0,True
I playing sports more and more lately.,1,[],0,0,0.0,0,278,,0,A2LEBJWW395FST,1.0,1,0,True
The football glided across the field.,1,[],0,0,0.0,0,279,,0,AFTSLCMJASJDR,1.0,2,0,True
Sports are important to him.,1,[],0,0,0.0,0,280,,0,AA0EJ752F121Q,2.0,2,0,True
The cyclist pedaled quickly away from his challengers.,1,[],0,0,0.0,0,281,,0,A2VN0R4EGGV7KE,2.0,1,0,True
I played volleyball yesterday.,1,[],0,0,0.0,0,282,,0,AJKA9BKC011F2,2.0,1,0,True
All sports has been cancelled due to the pandemic. ,1,['has been cancelled'],1,1,1.0,1,283,['been cancelled'],1,A2X823PACMMOKP,1.0,1,1,True
The sports station will be cleaned by me.,1,['will be cleaned'],1,1,1.0,1,284,['be cleaned'],1,ALG1XBLARJ545,1.0,2,1,True
My team was the recipient of the trophy.,1,[],0,0,0.0,0,285,,0,A2SKOPFTRTNFUY,1.0,2,0,True
Swimming was one of my hobbies.,1,[],0,0,0.0,0,286,,0,A347NXF6NQGM5G,1.0,2,0,True
Sports can be exciting,1,[],0,0,0.0,0,287,,0,AFRKVRPZ2RHY8,1.0,2,0,True
I am watching Sports and eating nachos.,1,[],0,0,0.0,0,288,,0,A2OZKKX2O0YTLD,2.0,1,0,True
He collided with the opposing player ,1,[],0,0,0.0,0,289,,0,A240OTT1T85UGT,1.0,1,0,True
He used to play sports before the car crash.,1,[],0,0,0.0,0,290,,0,A55E4CZQLYYO3,2.0,2,0,True
I play basketball.,1,[],0,0,0.0,0,291,,0,A3QNSOORS63W0D,2.0,1,0,True
Sports remain entertaining.,1,[],0,0,0.0,0,292,,0,A63XZD0XGIMAI,1.0,1,0,True
The baseball game was tiring.,1,[],0,0,0.0,0,293,,0,A2ONKY3JGB34T3,1.0,2,0,True
Alex Rodriguez hit home run.,1,[],0,0,0.0,0,294,,0,AOJD8D9NXVAR3,1.0,1,0,True
Sports teaches people how to work in teams.,1,[],0,0,0.0,0,295,,0,A33B85TN97HQ33,1.0,1,0,True
"If the team has weak offensive line, their quarterback will more likely be sacked.",1,['be sacked'],1,1,1.0,1,296,['be sacked'],1,A3J72C0SIACZBS,1.0,2,1,True
The opposing team was prevented from scoring.,1,['was prevented'],1,1,1.0,1,297,['was prevented'],1,AW3PWVBIGPNAA,1.0,2,1,True
We play sports.,1,[],0,0,0.0,0,298,,0,AC95JAUAM2L2Z,1.0,1,0,True
Soccer is game reserved for dedicated athletes.,1,[],0,0,0.0,0,299,['game reserved'],1,AFE7E450NETF2,1.0,2,0,False
im into sports,1,[],0,0,0.0,0,300,,0,AXR1QGU4KTMSZ,1.0,1,0,True
The player was sent to the bench.,1,['was sent'],1,1,1.0,1,301,['was sent'],1,COPIEDAKHKMEPXX1YZ9,2.0,2,1,True
Kids need sports for their physical development,1,[],0,0,0.0,0,302,,0,AOZBPO12UMPUY,1.0,1,0,True
watching sports is fun.,1,[],0,0,0.0,0,303,,0,A1JSPB0XCFUUG1,2.0,1,0,True
The ball was thrown.,1,['was thrown'],1,1,1.0,1,304,['was thrown'],1,A2VAG94W4SK18C,1.0,2,1,True
Cheerleading was one of my favorite sports when I was in high school. ,1,[],0,0,0.0,0,305,,0,A2GIT09BQEUM9M,,1,0,True
Sports are played. ,1,['are played'],1,1,1.0,1,306,['are played'],1,A162CO8K267FU8,1.0,2,1,True
I hit the ball in baseball.,1,[],0,0,0.0,0,307,,0,A3S9ASZKIIJ3WF,2.0,1,0,True
Sports bring fun to the masses.,1,[],0,0,0.0,0,308,,0,A3JUAN2Y9XTK5L,2.0,1,0,True
Kansas City should have won the game.,1,[],0,0,0.0,0,309,,0,A23FK9ROU01U4D,2.0,2,0,True
The sports team is good,1,[],0,0,0.0,0,310,,0,A79XOBCSS4NTG,1.0,2,0,True
The quarterback threw the ball. ,1,[],0,0,0.0,0,311,,0,AU34Y1DWWQ47O,1.0,1,0,True
i played sports,1,[],0,0,0.0,0,312,,0,A2TWX0MB777CAB,2.0,2,0,True
Sports are the greatest thing ever created ,1,['thing ever created'],1,1,1.0,1,313,,0,A1HYNGG8LZUV47,2.0,1,0,True
Sports were popular even amongst early man ,1,[],0,0,0.0,0,314,,0,AQDBBBTN8NE9X,2.0,2,0,True
Sports were not his favorite topic.,1,[],0,0,0.0,0,315,,0,A36G7I51D5O1M4,2.0,2,0,True
Sports was broadcasted earlier than usual.,1,['was broadcasted'],1,1,1.0,1,316,['was broadcasted'],1,COPIEDAPV3GK8ZEXB0J,1.0,1,1,True
I love to play sports.,1,[],0,0,0.0,0,317,,0,A38LW34F26WBJY,1.0,1,0,True
I performed well in my basketball game.,1,[],0,0,0.0,0,318,,0,A35TZ4YGDSXSEC,1.0,1,0,True
The ball ended up in the goal.,1,[],0,0,0.0,0,319,,0,A37CSK5QI41636,1.0,2,0,True
This was great year for Sports in Tampa. ,1,[],0,0,0.0,0,320,,0,ACIWLS3IQPV1J,2.0,1,0,True
My brother played soccer and I was chatting to my friend while he was playing.,1,[],0,0,0.0,0,321,,0,A1N274L13ZKKI5,1.0,2,0,True
Billy is sports fanatic.,1,[],0,0,0.0,0,322,,0,A3NG205QJ48IM4,1.0,1,0,True
She did not have talent in Sports.,1,[],0,0,0.0,0,323,,0,A2I6YPPQK6BU09,1.0,1,0,True
Sports isn cancelled yet. ,1,[],0,0,0.0,0,324,,0,A1H4MYPDJ2K3VI,2.0,1,1,False
He was interested in playing basketball.,1,[],0,0,0.0,0,325,,0,A15B294KHVGPFV,1.0,2,0,True
I love baseball ,1,[],0,0,0.0,0,326,,0,A3774HPOUKYTX7,1.0,1,0,True
I played all types of sports when I was younger.,1,[],0,0,0.0,0,327,,0,ARTARDCXLJ5H6,2.0,2,0,True
Football is fun to watch.,1,[],0,0,0.0,0,328,,0,A2RCUR9HJ9D0UQ,1.0,2,0,True
I love playing and watching sports.,1,[],0,0,0.0,0,329,,0,AO9AKYPPGGGZ4,2.0,1,0,True
I hate playing sports,1,[],0,0,0.0,0,330,,0,ADIW4L4IGU98R,1.0,1,0,True
"Johnnie plays several sports, including basketball, football and wrestling.",1,[],0,0,0.0,0,331,,0,A34IZFOSHOZ4GN,1.0,1,0,True
Sue cheered at the baseball game. ,1,[],0,0,0.0,0,332,,0,A11ILN5YSUDVG8,1.0,1,0,True
Football was played by the kids during recess. ,1,['was played'],1,1,1.0,1,333,['was played'],1,A13CFYL1AW272Y,1.0,2,1,True
The new player was delighted by the star player athletic ability.,1,['was delighted'],1,1,1.0,1,334,['was delighted'],1,AAFM5PPF9P0W,1.0,2,1,True
Tom Brady the goat. ,1,[],0,0,0.0,0,335,,0,A20P819KPQWCK0,1.0,1,0,True
Sports is not the only thing on television these days.,1,[],0,0,0.0,0,336,,0,A2OKJSKQFMCZTP,1.0,2,0,True
i enjoy participating in sports,1,[],0,0,0.0,0,337,,0,AM0FRMVODTMXA,1.0,1,0,True
I am playing sports this afternoon. ,1,[],0,0,0.0,0,338,,0,A2WSYQ5TS09U1,1.0,1,0,True
Sam throws the soccer ball to his dog.,1,[],0,0,0.0,0,339,,0,A1FAQI8VXLAMBM,2.0,1,0,True
I watch the sport of baseball daily.,1,[],0,0,0.0,0,340,,0,A3C9B757QTE20C,2.0,1,0,True
Sports can be means to express oneself,1,[],0,0,0.0,0,341,,0,AK70USZXEJSF3,2.0,2,0,True
I love to play sports.,1,[],0,0,0.0,0,342,,0,A3BWZ6V34W8SXX,2.0,1,0,True
I don watch sports as frequently as I used to. ,1,[],0,0,0.0,0,343,,0,A3U6RDG7BLH6YZ,2.0,1,0,True
Sports figures are paid exorbitant amounts of money.,1,['are paid'],1,1,1.0,1,344,['are paid'],1,A2HUWXLMG214BI,2.0,2,0,False
The team was cheered on by their fans.,1,['was cheered'],1,1,1.0,1,345,['was cheered'],1,A16DIQCMNWPBAN,2.0,2,1,True
I am very interested in basketball.,1,[],0,0,0.0,0,346,,0,A357ADRGNGMMKC,1.0,1,0,True
Sports is just not my interest.,1,[],0,0,0.0,0,347,,0,A3V2HVY764HJS4,2.0,1,0,True
He never enjoyed playing sports.,1,[],0,0,0.0,0,348,,0,A2W5PAZJG6X8Q8,2.0,2,0,True
Sports bring many people together.,1,[],0,0,0.0,0,349,,0,A118RTS8BOFIH7,1.0,1,0,True
The game was lost by the team.,1,['was lost'],1,1,1.0,1,350,['was lost'],1,A31CNXHGR49DJR,1.0,2,1,True
I love to participate in sports.,1,[],0,0,0.0,0,351,,0,A3OM2ZQ7FUDTIN,1.0,1,0,True
I used to play sports when I was younger.,1,[],0,0,0.0,0,352,,0,A3PSV85ZUXP9VF,2.0,2,0,True
I shot basketball and pooped at the same time. ,1,[],0,0,0.0,0,353,,0,A3G11HOZ5PCWOH,2.0,2,0,True
Sports are way of killing time. ,1,[],0,0,0.0,0,354,,0,A33ELVLU0NX9N9,1.0,1,0,True
The field was filled with players.,1,[],0,0,0.0,0,355,['was filled'],1,A2W434UNNBRS4L,1.0,2,0,False
my team is winning,1,[],0,0,0.0,0,356,,0,A2EW08X2I87RXL,2.0,1,0,True
Tackles were missed on the long touchdown run.,1,['were missed'],1,1,1.0,1,357,['were missed'],1,AHTWQSOY6HTJI,1.0,2,1,True
I had the best time at that football game.,1,[],0,0,0.0,0,358,,0,A16Y5JEB1EF9CY,1.0,2,0,True
Sports are mildly amusing.,1,[],0,0,0.0,0,359,,0,A3M0L33TPD346S,2.0,2,0,True
The baseball player hit more home runs than any other player this season.,1,[],0,0,0.0,0,360,,0,AY4KZOUEZ8BAM,1.0,1,0,True
Sports plays crucial role in everyone life.,1,[],0,0,0.0,0,361,,0,A14Z1JSAR9JEON,1.0,2,0,True
"Being in football requires, good education and good attitude.",1,[],0,0,0.0,0,362,,0,A3M2Q7EZCJ85GE,2.0,2,0,True
I watched sports on T.V. last night.,1,[],0,0,0.0,0,363,,0,A36W1PIV68AE5K,2.0,2,0,True
I played basketball when I was kid.,1,[],0,0,0.0,0,364,,0,ANR81FZBHHR0F,1.0,1,0,True
Team sports ceased during the pandemic,1,[],0,0,0.0,0,365,,0,A2UOOBZQ5L2EL1,2.0,2,0,True
Sports are great for getting in some extra exercise ,1,[],0,0,0.0,0,366,,0,j2wj0096lt,2.0,1,0,True
"Oh man, that looks fun ",1,[],0,0,0.0,0,367,,0,A3NUGUAMBKYMZY,1.0,1,0,True
Sports impact the betting business.,1,[],0,0,0.0,0,368,,0,A33TBDS0UALKW2,1.0,1,0,True
The field goal was made by the kicker.,1,['was made'],1,1,1.0,1,369,['was made'],1,A2BT7QVGXJKFKI,1.0,2,1,True
The quarterback practiced daily.,1,[],0,0,0.0,0,370,,0,A39J8MSTUDVH0D,1.0,1,0,True
Extreme sports open up new horizons.,1,[],0,0,0.0,0,371,,0,A15X9KAJB8M54B,2.0,2,0,True
sports are no longer exciting.,1,[],0,0,0.0,0,372,,0,A1CRE2Z623JZ6V,2.0,1,0,True
The player could not keep track of the ball.,1,[],0,0,0.0,0,373,,0,A3H8A6SSZH6MQQ,2.0,2,0,True
Sports were halted during the pandemic.,1,['were halted'],1,1,1.0,1,374,['were halted'],1,A2137K4XEU12TI,1.0,2,1,True
Playing baseball with the team is one example of sports.,1,[],0,0,0.0,0,375,,0,AMFIHFK9N0OVK,2.0,1,0,True
I play basketball.,1,[],0,0,0.0,0,376,,0,A1JAWNX4R60ZZ0,1.0,1,0,True
I kicked the ball in the goal.,1,[],0,0,0.0,0,377,,0,A1MPJYJCUAOFOB,1.0,1,0,True
I heard nothing about sports.,1,[],0,0,0.0,0,378,,0,A3HT6YYXPBRKN3,2.0,2,0,True
I love football season and March Madness.,1,[],0,0,0.0,0,379,,0,A3V9UGWBPDRFSG,1.0,1,0,True
my time was not recognized at the sports game.,1,['was not recognized'],1,1,1.0,1,380,,0,A1ZJ3TU4QJIKLY,2.0,2,1,False
Sport are fun but are very difficult and time consuming when done professionally.,1,[],0,0,0.0,0,381,,0,A129LL7SYP8EOE,2.0,1,1,False
The off-season is covered extensively on espn.com.,1,['is covered'],1,1,1.0,1,382,['is covered'],1,A2VUF0V7HT51Q3,1.0,2,1,True
I never did much with sports.,1,[],0,0,0.0,0,383,,0,A3IB7YJHP04OHI,2.0,2,0,True
The football player is running for office.,1,[],0,0,0.0,0,384,,0,A13DHPKBQXN9R7,2.0,1,0,True
Football is the only sport I watch.,1,[],0,0,0.0,0,385,,0,A1B3K5W6NZ03U2,1.0,1,0,True
The baseball game was watched at 5 P.M.,1,['was watched'],1,1,1.0,1,386,['was watched'],1,A29KJK7GPUF3OT,1.0,2,1,True
The ball was dribbled by me.,1,['was dribbled'],1,1,1.0,1,387,['was dribbled'],1,A26A77APE2SUR5,2.0,2,1,True
I love watching sports on TV.,1,[],0,0,0.0,0,388,,0,A8BSFVAPZBIUS ,1.0,1,0,True
I am going to play some baseball ,1,[],0,0,0.0,0,389,,0,A1ADRYNCJIRFOO,1.0,1,0,True
The ball was thrown by the tallest player on the team.,1,['was thrown'],1,1,1.0,1,390,['was thrown'],1,A1PAN54I7HWSZI,1.0,2,1,True
The Basketball season is ending.,1,[],0,0,0.0,0,391,,0,AS8JG1LSWTMGY,2.0,2,0,True
Sports are welcome respite.,1,[],0,0,0.0,0,392,,0,A25D8WXH1F4CG9,1.0,1,0,True
Sports teams are always looking for new players. ,1,[],0,0,0.0,0,393,,0,A1TK1M16KJJKEO,1.0,2,0,True
Frank played sports all through high school.,1,[],0,0,0.0,0,394,,0,A1282WX3YWXM6E,2.0,1,0,True
I LOVE PLAYING GOLF,1,[],0,0,0.0,0,395,,0,A3SUUPLFBSG1T9,1.0,1,0,True
Sports was used by politician.,1,['was used'],1,1,1.0,1,396,['was used'],1,A2T6EBB0Z6TQZS  ,1.0,2,1,True
The player was left saddened by the bad play. ,1,['was left'],1,1,1.0,1,397,['was left'],1,A3G1X3IP2VM4IK,2.0,2,1,True
I wish I could play softball.,1,[],0,0,0.0,0,398,,0,A1KRDCZ1YYBUIZ,1.0,1,0,True
We were watching the ball game. ,1,[],0,0,0.0,0,399,,0,A1X84CLJ7N1PLZ,1.0,2,0,True
Sports make me happy when my team wins.,1,[],0,0,0.0,0,400,,0,A141B3S3ZLY8DI,2.0,2,0,True
The sports games were cancelled. ,1,['were cancelled'],1,1,1.0,1,401,['were cancelled'],1,A1BDJMFP24FBGL,1.0,1,1,True
the baseball player was good at sports,1,[],0,0,0.0,0,402,,0,A3F34OE3VQ7W0V,1.0,2,0,True
The Soccer player was sent to the bench.,1,['was sent'],1,1,1.0,1,403,['was sent'],1,A2BQ5JORLYGZMV,2.0,2,1,True
I am playing basketball ,1,[],0,0,0.0,0,404,,0,A3ONF400XL2Y9U,1.0,1,0,True
Everybody loves to watch sports.,1,[],0,0,0.0,0,405,,0,A2HDZE2L9EX2SY,1.0,1,0,True
NBA fans are screwed,1,[],0,0,0.0,0,406,['are screwed'],1,A2EY0J9LOPU3TU,1.0,2,0,False
The sports complex is across the street.,1,[],0,0,0.0,0,407,,0,A20SXG1DHDIDI7,1.0,1,0,True
Sports were taking up significant part of my life,1,[],0,0,0.0,0,408,,0,A2Y81T0DIFJ866,1.0,2,0,True
I love watching Sports ,1,[],0,0,0.0,0,409,,0,A2MF4QDKE40KVN,1.0,1,0,True
I love football,1,[],0,0,0.0,0,410,,0,A7Z6P6K85HX54,1.0,2,0,True
Soccer is the most watched of all sports worldwide.,1,[],0,0,0.0,0,411,,0,A2PY9UB56M2PP2,1.0,1,0,True
Sports is now just another arm of politics. ,1,[],0,0,0.0,0,412,,0,A2JUTTLDE5LGHH,1.0,2,0,True
I like basketball,1,[],0,0,0.0,0,413,,0,A2F58OOW7K3DD2,1.0,1,0,True
He was very interested in sports in high school.,1,[],0,0,0.0,0,414,,0,A1QW2XUJ7KZCV5,2.0,2,0,True
You missed my game. ,1,[],0,0,0.0,0,415,,0,A3G3TIX6FEMN8R,2.0,2,0,True
Close the door after you come inside.,1,[],0,0,0.0,0,416,,0,A2DDPSXH2X96RF,1.0,1,0,True
I like watching my sports right now,1,[],0,0,0.0,0,417,,0,A2BZY06YRWGEDL,2.0,1,0,True
The ball was kicked by the goalie. ,1,['was kicked'],1,1,1.0,1,418,['was kicked'],1,A1C8FN01981A69,2.0,2,1,True
When will the Chicago Bulls win their next game ,1,[],0,0,0.0,0,419,,0,A2DU76P3SED4T6,2.0,1,0,True
I played basketball,1,[],0,0,0.0,0,420,,0,AYSX5GNO640MZ,1.0,1,0,True
The ball sailed over my head and I lost the points.,1,[],0,0,0.0,0,421,,0,A2R30HQXQN76IC,1.0,1,0,True
"Not everyone is sports fan, but I love them.",1,[],0,0,0.0,0,422,,0,AMDUEMZUK9GJC,1.0,1,0,True
She had been the last to bat in two innings.,1,[],0,0,0.0,0,423,,0,A2WS07SCLNP1GV,1.0,2,0,True
"At one time in history, sports were America favorite past time, but now it is being offended. ",1,['is being offended'],1,1,1.0,1,424,['being offended'],1,A3V3LIPOU53GZQ,2.0,2,1,True
The team did an okay job this match.,1,[],0,0,0.0,0,425,,0,AQDA6OMC4W5V8,1.0,2,0,True
Chris used to play baseball.,1,[],0,0,0.0,0,426,,0,A1K3VCFF62LIO2,2.0,1,0,True
The students play sports every day.,1,[],0,0,0.0,0,427,,0,A2AFAWJX5LTUVN,2.0,1,0,True
The Cardinals will begin playing in one hour. ,1,[],0,0,0.0,0,428,,0,AW8JVJQNLTXND,2.0,1,0,True
The athlete won the race.,1,[],0,0,0.0,0,429,,0,A26ZENZ5G8AEGM,1.0,1,0,True
Basketball is sport commonly played.,1,[],0,0,0.0,0,430,,0,A3Q9H7A8J8GR01,1.0,2,0,True
The players celebrated when the game ended. ,1,[],0,0,0.0,0,431,,0,A2SULQE4M8C3CM,2.0,2,0,True
Sports controls much of the attention in college towns.,1,[],0,0,0.0,0,432,,0,A2LDDDJ4WBKB8Y,1.0,1,0,True
Sports can be very interesting and fun spectating event.,1,[],0,0,0.0,0,433,,0,A2VJ27EN5W4MU,1.0,2,0,True
They played the sports.,1,[],0,0,0.0,0,434,,0,A1SBWRAOJBEFIM,1.0,1,0,True
SPORTS IS ONE OF ACTIVITY TO BUILD YOUR BODY S IMMUNE SYSTEM.,1,[],0,0,0.0,0,435,,0,A12JQZP4XVOABB,2.0,2,0,True
he likes sports,1,[],0,0,0.0,0,436,,0,AE5138F868GYB,1.0,1,0,True
A sports team is selling t-shirts outside.,1,[],0,0,0.0,0,437,,0,AY2L2CZ6OKNEA,2.0,1,0,True
The ball was caught by the catcher.,1,['was caught'],1,1,1.0,1,438,['was caught'],1,A2S7LNJG767XIU,1.0,2,1,True
"Sports, such as football and soccer, entertain people of all ages.",1,[],0,0,0.0,0,439,,0,A370S3V5OUNP4E,1.0,1,0,True
He was going to quit the team.,1,[],0,0,0.0,0,440,,0,A2ZKKOPPN3AX2G,1.0,2,0,True
The sports arena is filled.,1,[],0,0,0.0,0,441,['is filled'],1,AH7I3K3OJKA5L,2.0,1,0,False
A pitcher throws the ball to batter in baseball.,1,[],0,0,0.0,0,442,,0,A5BCSSPC180AG,2.0,2,0,True
Sports are fun afterschool activity for kids.,1,[],0,0,0.0,0,443,,0,A1TO9C7AZND1VO,1.0,1,0,True
I wish I hit the baseball.,1,[],0,0,0.0,0,444,,0,AE0C5U5HZ7WR9,2.0,2,0,True
My favorite Sports game is arm chair football.,1,[],0,0,0.0,0,445,,0,A1D4RC6K6Y5KAV,2.0,1,0,True
I played soccer.,1,[],0,0,0.0,0,446,,0,A345TDMHP3DQ3G,1.0,1,0,True
Sports were never mentioned ,1,['were never mentioned'],1,1,1.0,1,447,,0,A1U5UPSCURNRAA,2.0,2,1,False
Playing sports is great exercise.,1,[],0,0,0.0,0,448,,0,A18UTX5FD7NPRV,2.0,1,0,True
Players had been taken off the field.,1,['had been taken'],1,1,1.0,1,449,['been taken'],1,A3T79IEUFBB473,2.0,2,1,True
The ball just barely hit the hoop as it went through the basket.,1,[],0,0,0.0,0,450,,0,A3HKD5JYXYBK5Q,1.0,1,0,True
Sports are fun.,1,[],0,0,0.0,0,451,,0,A3MSMV01T3S53S,2.0,1,0,True
I wish I had seen the game.,1,[],0,0,0.0,0,452,,0,A2JAE9P7FQXU2T,2.0,2,0,True
Sports is probably the absolute best way to pass time.,1,[],0,0,0.0,0,453,,0,A23K77HMD9APAJ,1.0,1,0,True
Sports promote living an active lifestyle. ,1,[],0,0,0.0,0,454,,0,A322UHGPRL2UWO,2.0,1,0,True
The player was sent off before the end of the period.,1,['was sent'],1,1,1.0,1,455,['was sent'],1,A1EDKVYT9ZCGUH,2.0,2,1,True
I am on the way to tackle the player on the field.,1,[],0,0,0.0,0,456,,0,A3CX8S6Q0QEW8E,1.0,1,0,True
Bill and Dan were talking about sports.,1,[],0,0,0.0,0,457,,0,AYX9OCFWBM939,2.0,2,0,True
They won the game 10-7,1,[],0,0,0.0,0,458,,0,A1HNB2243A2PQH,2.0,2,0,True
Sports were discussed at dinner yesterday.,1,['were discussed'],1,1,1.0,1,459,['were discussed'],1,A1Y38T7IZWJQAE,2.0,2,1,True
The science being done was cutting edge.,1,['being done'],1,1,1.0,1,460,['being done'],1,A3ATU3VULAB7K2,2.0,2,1,True
Science will solve many new problems.,1,[],0,0,0.0,0,461,,0,A1CTJ8UT7SF317,1.0,1,0,True
I liked science in school.,1,[],0,0,0.0,0,462,,0,A327Q0Y175MEH7,1.0,1,0,True
The students were tested on the periodic chart.,1,['were tested'],1,1,1.0,1,463,['were tested'],1,A19TD2J8506A4Y,1.0,2,1,True
The biologists studies various life forms. ,1,[],0,0,0.0,0,464,,0,A2DDXYTEVDV5F5,1.0,1,0,True
I wish that the days was longer.,1,[],0,0,0.0,0,465,,0,AJ9O2ZA0E8UDZ,2.0,2,0,True
The engineer used result from esoteric mathematics.,1,[],0,0,0.0,0,466,,0,AYXXMHLZRAPF9,1.0,1,0,True
Science is going to pave the way to the future.,1,[],0,0,0.0,0,467,,0,A3M0L33TPD346S,1.0,1,0,True
A fascinating subject is science.,1,[],0,0,0.0,0,468,,0,A33GB614ST7J82,1.0,2,0,True
The doctor discovered cure for cancer.,1,[],0,0,0.0,0,469,,0, COPIEDAKHKMEPXX1YZ9,2.0,1,0,True
Atoms split during nuclear fission.,1,[],0,0,0.0,0,470,,0,A23273YME4RCEB,1.0,1,0,True
Science was the theme of the fair.,1,[],0,0,0.0,0,471,,0,A3O4WYGKH31OX,1.0,2,0,True
"When discussing science, less said the better.",1,[],0,0,0.0,0,472,,0,A3NLSGHK6RFXA8,1.0,2,0,True
The scientist studies the new data.,1,[],0,0,0.0,0,473,,0,AOJF7CPZVK5U3,1.0,1,0,True
Many research articles are published.,1,['are published'],1,1,1.0,1,474,['are published'],1,A154ZJKRSX6847,1.0,2,0,False
